index,consumption
0,102127929
1,81742411
2,72603502
3,58326065
4,53946766
5,41512307
6,39579856
7,36745908
8,36380683
9,36257169
10,31710224
11,28786033
12,28154136
13,27781825
14,26870266
15,26788616
16,24508039
17,24493668
18,24046252
19,23600916
20,23321666
21,21698023
22,21304407
23,20935541
24,20544341
25,19581176
26,18912606
27,18652046
28,18551561
29,18408580
30,17963562
31,16757455
32,16344448
33,16007911
34,15937950
35,15852141
36,15817316
37,14946384
38,14261887
39,14057523
40,14015419
41,13955383
42,13920296
43,13304260
44,13272532
45,13067280
46,13005305
47,12373472
48,11837729
49,11663369
50,11654024
51,11647167
52,11151628
53,10883357
54,10786965
55,10662634
56,10596145
57,10500271
58,10454769
59,10449250
60,10349361
61,10338801
62,10338451
63,10009337
64,9928413
65,9910821
66,9723998
67,9702202
68,9681357
69,9466642
70,9396214
71,9388538
72,9287281
73,9270676
74,9264819
75,9127587
76,8933374
77,8786714
78,8722671
79,8580716
80,8502857
81,8330774
82,8307837
83,8149085
84,8080313
85,7821244
86,7521088
87,7417399
88,7029792
89,6975995
90,6730562
91,6668830
92,6660656
93,6535584
94,6491559
95,6356483
96,6321217
97,6318406
98,6312469
99,6221100
100,6021749
101,5945198
102,5931407
103,5596407
104,5514116
105,5464752
106,5446458
107,5374207
108,5290945
109,5230377
110,5218051
111,5150728
112,5043804
113,5011659
114,4956151
115,4825293
116,4742065
117,4671462
118,4617645
119,4610096
120,4564279
121,4496796
122,4354792
123,4330727
124,4139092
125,4013149
126,3998687
127,3980930
128,3930023
129,3834781
130,3820061
131,3717258
132,3570120
133,3435334
134,3398979
135,3386703
136,3362487
137,3352281
138,3346342
139,3338926
140,3219841
141,3195412
142,3120211
143,3094264
144,3036734
145,3020152
146,2970380
147,2922111
148,2848235
149,2844440
150,2795036
151,2775974
152,2771266
153,2770042
154,2711137
155,2692691
156,2691365
157,2603908
158,2598967
159,2573106
160,2508099
161,2499786
162,2494024
163,2477751
164,2437289
165,2418471
166,2364611
167,2364385
168,2362480
169,2354751
170,2346857
171,2340955
172,2331257
173,2304346
174,2301131
175,2273838
176,2241568
177,2230108
178,2187742
179,2185768
180,2176745
181,2171956
182,2153197
183,2145374
184,2126331
185,2065220
186,2048645
187,2030027
188,2008247
189,2007819
190,2007469
191,1982387
192,1980873
193,1970448
194,1969473
195,1966624
196,1960339
197,1959064
198,1951925
199,1945969
200,1874804
201,1861522
202,1843921
203,1840699
204,1818580
205,1811659
206,1798635
207,1785799
208,1762803
209,1758100
210,1755541
211,1738880
212,1725846
213,1702933
214,1699935
215,1675986
216,1673871
217,1645276
218,1633319
219,1631488
220,1619900
221,1617570
222,1563932
223,1563630
224,1558500
225,1542386
226,1538353
227,1514536
228,1512640
229,1501454
230,1489543
231,1486398
232,1468892
233,1458193
234,1438472
235,1433828
236,1413199
237,1403726
238,1390870
239,1387621
240,1386177
241,1371753
242,1371103
243,1364266
244,1360500
245,1357387
246,1349357
247,1347516
248,1342580
249,1335465
250,1325346
251,1323417
252,1313207
253,1311039
254,1303094
255,1300081
256,1293507
257,1292671
258,1275132
259,1266409
260,1257784
261,1249356
262,1247593
263,1246708
264,1246207
265,1245526
266,1234699
267,1231247
268,1230443
269,1225479
270,1224361
271,1217220
272,1213671
273,1206957
274,1205534
275,1204857
276,1197824
277,1185156
278,1182683
279,1178836
280,1174093
281,1171672
282,1171431
283,1164162
284,1162395
285,1160006
286,1159194
287,1154227
288,1154054
289,1145130
290,1144832
291,1144394
292,1142646
293,1139570
294,1138213
295,1134823
296,1131152
297,1130844
298,1124412
299,1120564
300,1113155
301,1108918
302,1100665
303,1086630
304,1085171
305,1085065
306,1084687
307,1076746
308,1074939
309,1065627
310,1065331
311,1056978
312,1056867
313,1055969
314,1048333
315,1039814
316,1033622
317,1030422
318,1029672
319,1019301
320,1012810
321,1011874
322,1010050
323,1008743
324,1007191
325,1006982
326,1005134
327,1003599
328,1002891
329,999637
330,996279
331,992593
332,985664
333,984816
334,984240
335,981928
336,978549
337,978091
338,977969
339,977631
340,976471
341,975944
342,973381
343,970591
344,968048
345,966498
346,964856
347,963131
348,960055
349,956906
350,955784
351,954847
352,946736
353,944654
354,942576
355,941229
356,938505
357,935022
358,925857
359,924562
360,918866
361,895326
362,892954
363,892164
364,890132
365,887385
366,884574
367,882447
368,882291
369,882282
370,880852
371,879708
372,876274
373,873786
374,873370
375,872847
376,867976
377,862064
378,860396
379,860391
380,855057
381,853144
382,850051
383,847925
384,847518
385,846243
386,845606
387,842299
388,839466
389,839331
390,837477
391,828368
392,826363
393,824482
394,811908
395,809006
396,808340
397,803737
398,802671
399,797868
400,794153
401,794042
402,792433
403,791976
404,780129
405,779742
406,773691
407,771448
408,770248
409,767699
410,767687
411,766109
412,764984
413,761167
414,760703
415,758338
416,753368
417,752881
418,752097
419,747525
420,742034
421,741262
422,739203
423,738854
424,738633
425,738229
426,735923
427,731688
428,727131
429,726487
430,722687
431,721701
432,721469
433,719870
434,717127
435,715260
436,714061
437,710204
438,710086
439,707052
440,706508
441,705063
442,702494
443,701618
444,699527
445,697578
446,696574
447,696025
448,692684
449,690852
450,687869
451,685871
452,684252
453,683784
454,682951
455,682547
456,680353
457,678560
458,669030
459,668507
460,663974
461,663537
462,661628
463,660912
464,660508
465,655195
