GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013
0500000US01001,01001,"Autauga County, Alabama",54571,54571,54613,55278,55265,55246
0500000US01003,01003,"Baldwin County, Alabama",182265,182265,183223,186727,190675,195540
0500000US01005,01005,"Barbour County, Alabama",27457,27457,27341,27301,27232,27076
0500000US01007,01007,"Bibb County, Alabama",22915,22919,22883,22770,22662,22512
0500000US01009,01009,"Blount County, Alabama",57322,57322,57352,57742,57807,57872
0500000US01011,01011,"Bullock County, Alabama",10914,10915,10881,10618,10605,10639
0500000US01013,01013,"Butler County, Alabama",20947,20946,20944,20662,20384,20265
0500000US01015,01015,"Calhoun County, Alabama",118572,118572,118448,117769,117253,116736
0500000US01017,01017,"Chambers County, Alabama",34215,34170,34110,33995,34074,34162
0500000US01019,01019,"Cherokee County, Alabama",25989,25986,25968,26088,26056,26203
0500000US01021,01021,"Chilton County, Alabama",43643,43642,43700,43786,43800,43951
0500000US01023,01023,"Choctaw County, Alabama",13859,13858,13849,13598,13585,13426
0500000US01025,01025,"Clarke County, Alabama",25833,25840,25786,25615,25220,25207
0500000US01027,01027,"Clay County, Alabama",13932,13932,13886,13678,13458,13486
0500000US01029,01029,"Cleburne County, Alabama",14972,14972,14969,14960,14885,14994
0500000US01031,01031,"Coffee County, Alabama",49948,49948,50182,50503,51276,50938
0500000US01033,01033,"Colbert County, Alabama",54428,54428,54506,54406,54424,54520
0500000US01035,01035,"Conecuh County, Alabama",13228,13228,13218,13130,13009,12887
0500000US01037,01037,"Coosa County, Alabama",11539,11544,11563,11117,11000,10898
0500000US01039,01039,"Covington County, Alabama",37765,37765,37790,38053,37856,37886
0500000US01041,01041,"Crenshaw County, Alabama",13906,13906,13867,13915,13981,13986
0500000US01043,01043,"Cullman County, Alabama",80406,80408,80449,80477,80409,80811
0500000US01045,01045,"Dale County, Alabama",50251,50251,50341,50085,50348,49884
