Data Year,Utility Number,Utility Name,State,County
2012,34,City of Abbeville - (SC),SC,Abbeville
2012,55,City of Aberdeen - (MS),MS,Monroe
2012,59,City of Abbeville - (LA),LA,Vermilion
2012,84,A & N Electric Coop,MD,Somerset
2012,84,A & N Electric Coop,VA,Accomack
2012,84,A & N Electric Coop,VA,Northampton
2012,87,City of Ada,MN,Norman
2012,97,Adams Electric Coop,IL,Adams
2012,97,Adams Electric Coop,IL,Brown
2012,97,Adams Electric Coop,IL,Schuyler
2012,108,Adams-Columbia Electric Coop,WI,Adams
2012,108,Adams-Columbia Electric Coop,WI,Columbia
2012,108,Adams-Columbia Electric Coop,WI,Dane
2012,108,Adams-Columbia Electric Coop,WI,Dodge
2012,108,Adams-Columbia Electric Coop,WI,Green Lake
2012,108,Adams-Columbia Electric Coop,WI,Jefferson
2012,108,Adams-Columbia Electric Coop,WI,Marquette
2012,108,Adams-Columbia Electric Coop,WI,Portage
2012,108,Adams-Columbia Electric Coop,WI,Sauk
2012,108,Adams-Columbia Electric Coop,WI,Waupaca
2012,108,Adams-Columbia Electric Coop,WI,Waushara
2012,108,Adams-Columbia Electric Coop,WI,Wood
2012,118,"Adams Rural Electric Coop, Inc",OH,Adams
2012,118,"Adams Rural Electric Coop, Inc",OH,Brown
2012,118,"Adams Rural Electric Coop, Inc",OH,Highland
2012,118,"Adams Rural Electric Coop, Inc",OH,Pike
2012,118,"Adams Rural Electric Coop, Inc",OH,Scioto
2012,122,Village of Arcade,NY,Cattaraugus
2012,122,Village of Arcade,NY,Erie
2012,122,Village of Arcade,NY,Wyoming
2012,123,City of Adel- (GA),GA,Cook
2012,123,City of Adel- (GA),GA,Tift
2012,149,City of Afton- (IA),IA,Union
2012,150,Adrian Public Utilities Comm,MN,Nobles
2012,155,Agralite Electric Coop,MN,Big Stone
2012,155,Agralite Electric Coop,MN,Pope
2012,155,Agralite Electric Coop,MN,Stevens
2012,155,Agralite Electric Coop,MN,Swift
2012,157,Town of Advance,IN,Boone
2012,162,Aiken Electric Coop Inc,SC,Aiken
2012,162,Aiken Electric Coop Inc,SC,Barnwell
2012,162,Aiken Electric Coop Inc,SC,Calhoun
2012,162,Aiken Electric Coop Inc,SC,Edgefield
2012,162,Aiken Electric Coop Inc,SC,Greenwood
2012,162,Aiken Electric Coop Inc,SC,Lexington
2012,162,Aiken Electric Coop Inc,SC,McCormick
2012,162,Aiken Electric Coop Inc,SC,Orangeburg
2012,162,Aiken Electric Coop Inc,SC,Saluda
2012,174,Aitkin Public Utilities Comm,MN,Aitkin
2012,176,Ajo Improvement Co,AZ,Pima
2012,182,City of Akron - (IA),IA,Plymouth
2012,183,Village of Akron - (NY),NY,Erie
2012,191,Alamo Power District No 3,NV,Lincoln
2012,192,Akiachak Native Community Electric,AK,Bethel
2012,195,Alabama Power Co,AL,Autauga
2012,195,Alabama Power Co,AL,Baldwin
2012,195,Alabama Power Co,AL,Barbour
2012,195,Alabama Power Co,AL,Bibb
2012,195,Alabama Power Co,AL,Blount
2012,195,Alabama Power Co,AL,Bullock
2012,195,Alabama Power Co,AL,Butler
2012,195,Alabama Power Co,AL,Calhoun
2012,195,Alabama Power Co,AL,Chambers
2012,195,Alabama Power Co,AL,Cherokee
2012,195,Alabama Power Co,AL,Chilton
2012,195,Alabama Power Co,AL,Choctaw
2012,195,Alabama Power Co,AL,Clarke
2012,195,Alabama Power Co,AL,Clay
2012,195,Alabama Power Co,AL,Cleburne
2012,195,Alabama Power Co,AL,Coffee
2012,195,Alabama Power Co,AL,Conecuh
2012,195,Alabama Power Co,AL,Coosa
2012,195,Alabama Power Co,AL,Covington
2012,195,Alabama Power Co,AL,Crenshaw
2012,195,Alabama Power Co,AL,Cullman
2012,195,Alabama Power Co,AL,Dale
2012,195,Alabama Power Co,AL,Dallas
2012,195,Alabama Power Co,AL,Elmore
2012,195,Alabama Power Co,AL,Escambia
2012,195,Alabama Power Co,AL,Etowah
2012,195,Alabama Power Co,AL,Fayette
2012,195,Alabama Power Co,AL,Franklin
2012,195,Alabama Power Co,AL,Geneva
2012,195,Alabama Power Co,AL,Greene
2012,195,Alabama Power Co,AL,Hale
2012,195,Alabama Power Co,AL,Henry
2012,195,Alabama Power Co,AL,Houston
2012,195,Alabama Power Co,AL,Jefferson
2012,195,Alabama Power Co,AL,Lamar
2012,195,Alabama Power Co,AL,Lawrence
2012,195,Alabama Power Co,AL,Lee
2012,195,Alabama Power Co,AL,Lowndes
2012,195,Alabama Power Co,AL,Macon
2012,195,Alabama Power Co,AL,Marengo
2012,195,Alabama Power Co,AL,Marion
2012,195,Alabama Power Co,AL,Marshall
2012,195,Alabama Power Co,AL,Mobile
2012,195,Alabama Power Co,AL,Monroe
2012,195,Alabama Power Co,AL,Montgomery
2012,195,Alabama Power Co,AL,Perry
2012,195,Alabama Power Co,AL,Pickens
2012,195,Alabama Power Co,AL,Randolph
2012,195,Alabama Power Co,AL,Russell
2012,195,Alabama Power Co,AL,Shelby
2012,195,Alabama Power Co,AL,St Clair
2012,195,Alabama Power Co,AL,Sumter
2012,195,Alabama Power Co,AL,Talladega
2012,195,Alabama Power Co,AL,Tallapoosa
2012,195,Alabama Power Co,AL,Tuscaloosa
2012,195,Alabama Power Co,AL,Walker
2012,195,Alabama Power Co,AL,Washington
2012,195,Alabama Power Co,AL,Wilcox
2012,195,Alabama Power Co,AL,Winston
2012,198,City of Alton,IA,Sioux
2012,201,City of Alachua - (FL),FL,Alachua
2012,202,Town of Black Creek - (NC),NC,Wilson
2012,207,City of Alameda,CA,Alameda
2012,213,Alaska Electric Light&Power Co,AK,Juneau
2012,219,Alaska Power and Telephone Co,AK,Haines
2012,219,Alaska Power and Telephone Co,AK,Prince of Wales Ketchikan
2012,219,Alaska Power and Telephone Co,AK,Skagway Hoonah Angoon
2012,219,Alaska Power and Telephone Co,AK,Yukon Koyukuk
2012,221,"Alaska Village Elec Coop, Inc",AK,Kodiak Island
2012,228,City of Albany - (MO),MO,Gentry
2012,229,City of Albany - (IL),IL,Whiteside
2012,230,Albany Water Gas & Light Comm,GA,Dougherty
2012,230,Albany Water Gas & Light Comm,GA,Lee
2012,232,City of Albemarle - (NC),NC,Stanly
2012,240,Albemarle Electric Member Corp,NC,Camden
2012,240,Albemarle Electric Member Corp,NC,Chowan
2012,240,Albemarle Electric Member Corp,NC,Currituck
2012,240,Albemarle Electric Member Corp,NC,Pasquotank
2012,240,Albemarle Electric Member Corp,NC,Perquimans
2012,241,Albertville Municipal Utilities Board,AL,Marshall
2012,244,City of Albion,ID,Cassia
2012,266,City of Alpha - (MN),MN,Jackson
2012,276,Alcorn County Elec Power Assn,MS,Alcorn
2012,282,Village of Arcadia - (OH),OH,Hancock
2012,287,"Alder Mutual Light Co, Inc",WA,Pierce
2012,289,City of Alexander City,AL,Tallapoosa
2012,295,City of Alexandria- (MN),MN,Douglas
2012,296,"Alfalfa Electric Coop, Inc",KS,Barber
2012,296,"Alfalfa Electric Coop, Inc",KS,Harper
2012,296,"Alfalfa Electric Coop, Inc",OK,Alfalfa
2012,296,"Alfalfa Electric Coop, Inc",OK,Garfield
2012,296,"Alfalfa Electric Coop, Inc",OK,Grant
2012,296,"Alfalfa Electric Coop, Inc",OK,Major
2012,296,"Alfalfa Electric Coop, Inc",OK,Woods
2012,298,City of Alexandria - (LA),LA,Rapides
2012,305,Alger-Delta Coop Electric Assn,MI,Alger
2012,305,Alger-Delta Coop Electric Assn,MI,Delta
2012,305,Alger-Delta Coop Electric Assn,MI,Dickinson
2012,305,Alger-Delta Coop Electric Assn,MI,Marquette
2012,305,Alger-Delta Coop Electric Assn,MI,Menominee
2012,305,Alger-Delta Coop Electric Assn,MI,Schoolcraft
2012,307,Algoma Utility Comm,WI,Kewaunee
2012,308,City of Acworth - (GA),GA,Bartow
2012,308,City of Acworth - (GA),GA,Cobb
2012,309,City of Algona - (IA),IA,Kossuth
2012,329,"Allamakee-Clayton El Coop, Inc",IA,Allamakee
2012,329,"Allamakee-Clayton El Coop, Inc",IA,Bremer
2012,329,"Allamakee-Clayton El Coop, Inc",IA,Chickasaw
2012,329,"Allamakee-Clayton El Coop, Inc",IA,Clayton
2012,329,"Allamakee-Clayton El Coop, Inc",IA,Delaware
2012,329,"Allamakee-Clayton El Coop, Inc",IA,Dubuque
2012,329,"Allamakee-Clayton El Coop, Inc",IA,Fayette
2012,329,"Allamakee-Clayton El Coop, Inc",IA,Winneshiek
2012,366,City of Allendale- (IL),IL,Wabash
2012,367,City of Alliance- (NE),NE,Box Butte
2012,385,City of Alma - (KS),KS,Wabaunsee
2012,392,Alpena Power Co,MI,Alcona
2012,392,Alpena Power Co,MI,Alpena
2012,392,Alpena Power Co,MI,Montmorency
2012,392,Alpena Power Co,MI,Presque Isle
2012,405,City of Alta,IA,Buena Vista
2012,406,City of Altamont - (IL),IL,Effingham
2012,407,Altamaha Electric Member Corp,GA,Emanuel
2012,407,Altamaha Electric Member Corp,GA,Johnson
2012,407,Altamaha Electric Member Corp,GA,Laurens
2012,407,Altamaha Electric Member Corp,GA,Montgomery
2012,407,Altamaha Electric Member Corp,GA,Tattnall
2012,407,Altamaha Electric Member Corp,GA,Toombs
2012,407,Altamaha Electric Member Corp,GA,Treutlen
2012,408,City of Altamont - (KS),KS,Labette
2012,416,City of Altus - (OK),OK,Jackson
2012,432,City of Alta Vista- (IA),IA,Chickasaw
2012,471,Amana Society Service Co,IA,Iowa
2012,482,City of Alvarado,MN,Marshall
2012,554,City of Ames - (IA),IA,Story
2012,560,City of Amherst- (OH),OH,Lorain
2012,562,Amicalola Electric Member Corp,GA,Bartow
2012,562,Amicalola Electric Member Corp,GA,Cherokee
2012,562,Amicalola Electric Member Corp,GA,Dawson
2012,562,Amicalola Electric Member Corp,GA,Fannin
2012,562,Amicalola Electric Member Corp,GA,Forsyth
2012,562,Amicalola Electric Member Corp,GA,Gilmer
2012,562,Amicalola Electric Member Corp,GA,Gordon
2012,562,Amicalola Electric Member Corp,GA,Lumpkin
2012,562,Amicalola Electric Member Corp,GA,Murray
2012,562,Amicalola Electric Member Corp,GA,Pickens
2012,571,City of Amory,MS,Monroe
2012,577,City of Alcoa Utilities,TN,Blount
2012,588,Anadarko Public Works Authority,OK,Caddo
2012,590,City of Anaheim - (CA),CA,Orange
2012,599,Anchorage Municipal Light and Power,AK,Anchorage
2012,604,City of Andalusia,AL,Covington
2012,636,City of Anderson,IN,Madison
2012,661,Village of Andover,NY,Allegany
2012,669,Village of Angelica,NY,Allegany
2012,682,City of Anita - (IA),IA,Cass
2012,689,Connexus Energy,MN,Anoka
2012,689,Connexus Energy,MN,Chisago
2012,689,Connexus Energy,MN,Hennepin
2012,689,Connexus Energy,MN,Isanti
2012,689,Connexus Energy,MN,Ramsey
2012,689,Connexus Energy,MN,Sherburne
2012,689,Connexus Energy,MN,Washington
2012,690,City of Bardstown - (KY),KY,Nelson
2012,691,City of Anoka,MN,Anoka
2012,691,City of Anoka,MN,Hennepin
2012,694,Anza Electric Coop Inc,CA,Riverside
2012,695,City of Ansley - (NE),NE,Custer
2012,700,City of Anthon - (IA),IA,Woodbury
2012,701,City of Anthony - (KS),KS,Harper
2012,719,Town of Apex- (NC),NC,Wake
2012,723,City of Aplington,IA,Butler
2012,727,Appalachian Electric Coop,TN,Grainger
2012,727,Appalachian Electric Coop,TN,Hamblen
2012,727,Appalachian Electric Coop,TN,Jefferson
2012,727,Appalachian Electric Coop,TN,Sevier
2012,733,Appalachian Power Co,VA,Albemarle
2012,733,Appalachian Power Co,VA,Amherst
2012,733,Appalachian Power Co,VA,Appomattox
2012,733,Appalachian Power Co,VA,Bedford
2012,733,Appalachian Power Co,VA,Bland
2012,733,Appalachian Power Co,VA,Botetourt
2012,733,Appalachian Power Co,VA,Buchanan
2012,733,Appalachian Power Co,VA,Buckingham
2012,733,Appalachian Power Co,VA,Campbell
2012,733,Appalachian Power Co,VA,Carroll
2012,733,Appalachian Power Co,VA,Craig
2012,733,Appalachian Power Co,VA,Dickenson
2012,733,Appalachian Power Co,VA,Floyd
2012,733,Appalachian Power Co,VA,Fluvanna
2012,733,Appalachian Power Co,VA,Franklin
2012,733,Appalachian Power Co,VA,Giles
2012,733,Appalachian Power Co,VA,Grayson
2012,733,Appalachian Power Co,VA,Henry
2012,733,Appalachian Power Co,VA,Montgomery
2012,733,Appalachian Power Co,VA,Nelson
2012,733,Appalachian Power Co,VA,Patrick
2012,733,Appalachian Power Co,VA,Pittsylvania
2012,733,Appalachian Power Co,VA,Pulaski
2012,733,Appalachian Power Co,VA,Roanoke
2012,733,Appalachian Power Co,VA,Russell
2012,733,Appalachian Power Co,VA,Scott
2012,733,Appalachian Power Co,VA,Smyth
2012,733,Appalachian Power Co,VA,Tazewell
2012,733,Appalachian Power Co,VA,Washington
2012,733,Appalachian Power Co,VA,Wise
2012,733,Appalachian Power Co,VA,Wythe
2012,733,Appalachian Power Co,WV,Boone
2012,733,Appalachian Power Co,WV,Cabell
2012,733,Appalachian Power Co,WV,Clay
2012,733,Appalachian Power Co,WV,Fayette
2012,733,Appalachian Power Co,WV,Greenbrier
2012,733,Appalachian Power Co,WV,Jackson
2012,733,Appalachian Power Co,WV,Kanawha
2012,733,Appalachian Power Co,WV,Lincoln
2012,733,Appalachian Power Co,WV,Logan
2012,733,Appalachian Power Co,WV,Mason
2012,733,Appalachian Power Co,WV,McDowell
2012,733,Appalachian Power Co,WV,Mercer
2012,733,Appalachian Power Co,WV,Mingo
2012,733,Appalachian Power Co,WV,Monroe
2012,733,Appalachian Power Co,WV,Nicholas
2012,733,Appalachian Power Co,WV,Putnam
2012,733,Appalachian Power Co,WV,Raleigh
2012,733,Appalachian Power Co,WV,Roane
2012,733,Appalachian Power Co,WV,Summers
2012,733,Appalachian Power Co,WV,Wayne
2012,733,Appalachian Power Co,WV,Wyoming
2012,750,Arab Electric Coop Inc,AL,Cullman
2012,750,Arab Electric Coop Inc,AL,Marshall
2012,752,City of Arapahoe - (NE),NE,Furnas
2012,764,City of Arcadia - (KS),KS,Crawford
2012,765,City of Arcadia - (WI),WI,Trempealeau
2012,768,City of Arcanum - (OH),OH,Darke
2012,789,Town of Argos,IN,Marshall
2012,792,City of Argyle - (WI),WI,Lafayette
2012,803,Arizona Public Service Co,AZ,Apache
2012,803,Arizona Public Service Co,AZ,Cochise
2012,803,Arizona Public Service Co,AZ,Coconino
2012,803,Arizona Public Service Co,AZ,Gila
2012,803,Arizona Public Service Co,AZ,Graham
2012,803,Arizona Public Service Co,AZ,Greenlee
2012,803,Arizona Public Service Co,AZ,Maricopa
2012,803,Arizona Public Service Co,AZ,Mohave
2012,803,Arizona Public Service Co,AZ,Navajo
2012,803,Arizona Public Service Co,AZ,Pima
2012,803,Arizona Public Service Co,AZ,Pinal
2012,803,Arizona Public Service Co,AZ,Santa Cruz
2012,803,Arizona Public Service Co,AZ,Yavapai
2012,803,Arizona Public Service Co,AZ,Yuma
2012,814,Entergy Arkansas Inc,AR,Arkansas
2012,814,Entergy Arkansas Inc,AR,Ashley
2012,814,Entergy Arkansas Inc,AR,Baxter
2012,814,Entergy Arkansas Inc,AR,Boone
2012,814,Entergy Arkansas Inc,AR,Bradley
2012,814,Entergy Arkansas Inc,AR,Calhoun
2012,814,Entergy Arkansas Inc,AR,Carroll
2012,814,Entergy Arkansas Inc,AR,Chicot
2012,814,Entergy Arkansas Inc,AR,Clark
2012,814,Entergy Arkansas Inc,AR,Clay
2012,814,Entergy Arkansas Inc,AR,Cleburne
2012,814,Entergy Arkansas Inc,AR,Cleveland
2012,814,Entergy Arkansas Inc,AR,Columbia
2012,814,Entergy Arkansas Inc,AR,Conway
2012,814,Entergy Arkansas Inc,AR,Craighead
2012,814,Entergy Arkansas Inc,AR,Crittenden
2012,814,Entergy Arkansas Inc,AR,Cross
2012,814,Entergy Arkansas Inc,AR,Dallas
2012,814,Entergy Arkansas Inc,AR,Desha
2012,814,Entergy Arkansas Inc,AR,Drew
2012,814,Entergy Arkansas Inc,AR,Faulkner
2012,814,Entergy Arkansas Inc,AR,Fulton
2012,814,Entergy Arkansas Inc,AR,Garland
2012,814,Entergy Arkansas Inc,AR,Grant
2012,814,Entergy Arkansas Inc,AR,Greene
2012,814,Entergy Arkansas Inc,AR,Hempstead
2012,814,Entergy Arkansas Inc,AR,Hot Spring
2012,814,Entergy Arkansas Inc,AR,Independence
2012,814,Entergy Arkansas Inc,AR,Izard
2012,814,Entergy Arkansas Inc,AR,Jackson
2012,814,Entergy Arkansas Inc,AR,Jefferson
2012,814,Entergy Arkansas Inc,AR,Johnson
2012,814,Entergy Arkansas Inc,AR,Lafayette
2012,814,Entergy Arkansas Inc,AR,Lawrence
2012,814,Entergy Arkansas Inc,AR,Lee
2012,814,Entergy Arkansas Inc,AR,Lincoln
2012,814,Entergy Arkansas Inc,AR,Logan
2012,814,Entergy Arkansas Inc,AR,Lonoke
2012,814,Entergy Arkansas Inc,AR,Marion
2012,814,Entergy Arkansas Inc,AR,Miller
2012,814,Entergy Arkansas Inc,AR,Mississippi
2012,814,Entergy Arkansas Inc,AR,Monroe
2012,814,Entergy Arkansas Inc,AR,Montgomery
2012,814,Entergy Arkansas Inc,AR,Nevada
2012,814,Entergy Arkansas Inc,AR,Newton
2012,814,Entergy Arkansas Inc,AR,Ouachita
2012,814,Entergy Arkansas Inc,AR,Perry
2012,814,Entergy Arkansas Inc,AR,Phillips
2012,814,Entergy Arkansas Inc,AR,Pike
2012,814,Entergy Arkansas Inc,AR,Poinsett
2012,814,Entergy Arkansas Inc,AR,Pope
2012,814,Entergy Arkansas Inc,AR,Prairie
2012,814,Entergy Arkansas Inc,AR,Pulaski
2012,814,Entergy Arkansas Inc,AR,Randolph
2012,814,Entergy Arkansas Inc,AR,Saline
2012,814,Entergy Arkansas Inc,AR,Scott
2012,814,Entergy Arkansas Inc,AR,Searcy
2012,814,Entergy Arkansas Inc,AR,Sharp
2012,814,Entergy Arkansas Inc,AR,St Francis
2012,814,Entergy Arkansas Inc,AR,Stone
