id,consumption
54011,671952.345157
46101,52231.425791
41001,187336.047408
41003,56587.371337
41005,382417.023533
41007,528297.449034
41009,611903.878132
41011,320587.279639
41013,45175.192928
41015,56011.716527
41017,455792.230032
41019,509134.809850
41021,6292.368629
41023,101537.904079
41025,87514.376403
41027,109550.605111
41029,177546.379262
41031,82644.641547
41033,2164.794210
41035,43320.771642
41037,8284.105678
41039,4931686.261994
42011,2532052.512736
41041,125394.467330
41043,293482.057771
41045,27124.224386
41047,565449.361515
46103,316049.403413
41049,109122.963850
41051,892867.935461
41053,203611.837873
41055,5617.263371
41057,74390.155239
41059,1136914.883022
41061,510348.457754
41063,4389.702963
41065,650553.877012
41067,586734.677260
41069,4945.674666
41071,1066190.500269
13099,219210.422126
56007,130407.594434
6007,169801.074789
56011,221632.106144
46107,14149.147327
9009,6125929.078777
33001,194265.627503
22103,6827288.460640
33003,150821.037347
33005,224548.292831
33007,81365.136610
33009,376480.561998
33011,1135606.705874
33013,513693.411695
33015,1155319.303783
54019,318148.016691
33017,316760.665216
33019,126248.257143
42017,7325332.610506
47029,105111.147990
46109,89117.805634
56029,363236.915725
56031,67956.578407
31099,78625.188663
13105,395972.268316
56043,51788.103008
13107,386960.807303
25001,503628.250127
25003,503716.532436
54025,712173.748297
25005,3849864.973490
25007,37697.256719
25009,4192103.821254
25011,276435.440038
25013,2896913.937494
25015,823776.763076
25017,7952855.299887
25019,1061.809990
25021,3310668.844718
25023,2423298.793899
25025,2875206.122423
25027,4747682.978089
49011,438027.753244
13109,115535.618854
19193,433553.078998
9005,780308.884948
6059,5474829.907030
8053,16324.675576
13111,77040.112317
13097,1286840.431023
46049,69348.847669
13113,1231970.108608
17001,658321.677248
17003,115340.936281
17005,136060.607218
17007,337768.694628
17009,64325.548072
17011,569325.606165
17013,36969.171055
17015,161285.890244
17017,104294.444174
17019,1689717.133709
17021,258395.585773
17023,266920.122226
17025,286890.624602
17027,409315.350763
48031,42220.661898
17029,440456.789476
17031,31957357.148975
17033,176418.032132
17035,131528.928015
17037,636961.266446
17039,138268.095319
17041,170591.110989
17043,6789465.297160
31119,717029.556171
17045,155808.206788
17047,54562.793955
17049,376926.035981
17051,187856.175977
17053,191443.899462
17055,538689.804929
17057,268981.666322
17059,69621.148874
17061,115454.090646
17063,305677.116340
17065,81033.731137
17067,143508.472950
17069,19942.445887
17071,53622.054813
17073,457978.408885
17075,214003.360927
17077,439166.153810
17079,118541.083886
17081,346476.649570
17083,174232.454934
17085,259552.169034
17087,184679.572647
29211,157597.006936
17089,4234448.887461
17091,687036.837707
17093,1571567.497142
17095,411524.017461
17097,4269172.280169
17099,1761408.331605
17101,149305.176697
17103,336752.555854
17105,526925.500235
17107,228987.517239
17109,288430.298053
17111,1929876.578273
17113,1307594.961105
17115,893122.552570
17117,400615.896696
17119,2124683.796799
17121,389292.154389
17123,163865.730749
17125,101828.432459
17127,313428.615505
17129,90010.326048
17131,116674.778834
17133,338709.519589
17135,246285.676740
17137,284863.627161
17139,203928.534022
17141,506585.807152
17143,1291519.169905
17145,179919.199493
17147,143417.828264
29213,343151.062553
17149,119838.722983
17151,33171.887474
17153,88678.016026
17155,42412.819467
17157,297932.796865
17159,174476.383021
17161,75943.076184
17163,2627467.785016
31123,85360.897988
17165,284150.582060
17167,3404998.486379
17169,69532.918589
17171,38890.890563
17173,195321.207476
17175,42932.513647
17177,331492.556872
17179,1038073.694397
17181,172221.846141
17183,625461.349919
17185,223085.912977
17187,126696.777074
17189,122313.059267
17191,227841.622053
17193,240763.425663
48507,15410.904128
17195,743005.094077
17197,4737475.212494
9007,688569.035135
17201,1830256.167308
9011,2304731.217391
9013,631917.201906
9015,490512.328618
29215,218891.356297
50001,310596.764310
50003,262360.987885
50005,315934.584255
50007,1681763.708755
50009,58904.802745
50011,488159.499481
50013,8971.978450
50015,354663.786308
50017,220991.444674
50019,108742.352783
50021,436132.737186
50023,495428.317391
50025,320127.897825
50027,446978.137953
29217,162401.483050
13045,1294723.943278
29219,430681.352022
54043,150125.272245
21037,1266515.757816
1001,885188.069293
1003,5192508.796310
1005,483150.357719
1007,345246.480000
1009,786907.810601
1011,161127.371787
1013,308082.711155
1015,1822307.391105
1017,639794.514450
1019,384974.465548
1021,667275.431294
1023,198245.445098
1025,456478.969966
1027,206994.249624
1029,222233.974209
1031,1030220.512138
1033,1194559.187774
1035,253575.887312
1037,167580.587768
1039,1164644.621337
1041,278654.131181
1043,1805069.839429
1045,1295071.660882
1047,725655.038277
42009,435036.858295
1051,1225120.738775
1053,634416.147013
1055,1771325.406699
1057,262047.005108
1059,635777.368558
1061,473949.026870
1063,129118.564463
42025,347259.983825
1067,290186.069410
1069,2208551.611382
13129,1236174.380823
1071,561529.928124
42033,292300.627928
1075,219823.612341
42037,298524.191010
42039,433289.155780
42041,2273559.006149
1083,960055.000000
1085,190868.019404
40135,437712.673476
1087,450068.060400
42049,992463.139684
42051,524712.316918
42053,26587.636296
1095,2935368.271262
1097,6291983.670482
1099,568651.899408
42061,340826.312737
42063,631934.917982
42065,321599.044915
42067,192358.502279
1109,488935.861672
1111,339211.010683
1113,861778.113894
1115,1197735.026637
1117,2826498.278189
1119,195647.897124
1121,1474615.336316
42083,321129.492030
1125,2899534.815477
1127,900736.985480
1129,337170.647581
13131,604653.855222
1131,215373.064282
1133,420025.078376
42095,1795514.460475
42097,528993.421562
42099,343384.531512
6039,149014.868829
42101,8456331.966043
42103,385289.041579
42105,125588.521338
40137,1099692.861845
