source,target,value
15003,19547,10.0
54065,15263,10.0
42009,20387,10.0
42009,40167,10.0
42009,13205,10.0
42009,14711,10.0
42009,40221,10.0
42009,40222,10.0
30007,12825,10.0
30007,23586,10.0
30043,12825,10.0
30043,23586,10.0
9003,4176,10.0
9003,6207,10.0
41003,14354,10.0
41003,40437,10.0
41003,4743,10.0
41005,15248,10.0
41005,2955,10.0
41007,20385,10.0
41007,14354,10.0
41007,18917,10.0
41007,28541,10.0
13095,18305,10.0
13095,12706,10.0
13095,7140,10.0
13095,230,10.0
41011,1176,10.0
41011,3264,10.0
41011,14354,10.0
41011,4317,10.0
41011,5327,10.0
41013,3240,10.0
41013,14354,10.0
41013,11589,10.0
41015,1176,10.0
41015,4317,10.0
41017,3240,10.0
41017,14354,10.0
41017,11589,10.0
41017,12439,10.0
41019,3264,10.0
41019,5354,10.0
41019,5327,10.0
41019,14354,10.0
41019,40437,10.0
41019,4317,10.0
41021,14354,10.0
41021,4005,10.0
41021,20138,10.0
41023,3240,10.0
41023,4008,10.0
41023,14109,10.0
41023,9191,10.0
41025,14109,10.0
41025,11589,10.0
41025,9191,10.0
41027,3136,10.0
41027,14354,10.0
41027,8830,10.0
41029,14354,10.0
41029,907,10.0
41031,3240,10.0
41031,14354,10.0
41031,20138,10.0
41033,14354,10.0
41035,14354,10.0
41035,12439,10.0
41037,14354,10.0
41037,18260,10.0
41037,11589,10.0
41037,12439,10.0
41039,3264,10.0
41039,6022,10.0
41039,4743,10.0
41039,1736,10.0
41039,5327,10.0
41039,14354,10.0
41039,40437,10.0
41039,12439,10.0
41039,10681,10.0
41039,17839,10.0
42011,14715,10.0
42011,12390,10.0
42011,10494,10.0
41041,3264,10.0
41041,14354,10.0
41041,4743,10.0
41043,3240,10.0
41043,14354,10.0
41043,40437,10.0
41043,4743,10.0
41045,11589,10.0
41045,9191,10.0
41047,15248,10.0
41047,14354,10.0
41047,16555,10.0
41047,4743,10.0
41049,14354,10.0
41049,4005,10.0
41049,19325,10.0
41051,3136,10.0
41051,15248,10.0
41051,14354,10.0
41051,40438,10.0
41053,15248,10.0
41053,14354,10.0
41053,16555,10.0
41053,12789,10.0
41053,4743,10.0
41055,14354,10.0
41055,4005,10.0
41055,20138,10.0
41057,20385,10.0
41057,14354,10.0
41057,18917,10.0
41059,8515,10.0
41059,4005,10.0
41059,12615,10.0
41059,4008,10.0
41059,4041,10.0
41059,14354,10.0
41059,19325,10.0
41061,14109,10.0
41061,19325,10.0
41063,14354,10.0
41063,3739,10.0
41063,9191,10.0
41065,3240,10.0
41065,14354,10.0
41065,13788,10.0
41065,20138,10.0
41067,15248,10.0
41067,20385,10.0
41067,6582,10.0
41069,4008,10.0
41069,20138,10.0
41069,4005,10.0
41071,15248,10.0
41071,20385,10.0
41071,12187,10.0
41071,18917,10.0
42043,12474,10.0
42043,14715,10.0
42043,12390,10.0
42043,16375,10.0
36011,13573,10.0
36011,13511,10.0
19099,9417,10.0
19099,11788,10.0
19099,12341,10.0
19099,26765,10.0
42013,40292,10.0
42013,40222,10.0
42013,14711,10.0
40045,14063,10.0
40045,13807,10.0
46105,7484,10.0
46105,12199,10.0
42015,40289,10.0
42015,40290,10.0
42015,40291,10.0
42015,14711,10.0
51775,16558,10.0
6057,14328,10.0
6057,19229,10.0
9009,4176,10.0
9009,19497,10.0
9009,20038,10.0
